Epoch,Phase,Iteration,Accuracy,Loss
436,Training,872,0.75,0.32325685804298476
436,Val,872,0.75,0.32274895660887243
440,Training,880,0.75,0.3223180300500498
440,Val,880,0.75,0.32180364534981676
444,Training,888,0.75,0.32136305586753655
444,Val,888,0.75,0.3208428352858668
448,Training,896,0.75,0.3205824907428457
448,Val,896,0.75,0.3198874046531007
452,Training,904,0.75,0.3194409664407174
452,Val,904,0.75,0.3189042534995869
456,Training,912,0.75,0.33006575682344824
456,Val,912,0.75,0.31789735791841917
460,Training,920,0.75,0.3289468743130267
460,Val,920,0.75,0.3168526211655509
464,Training,928,0.75,0.3163672088705861
464,Val,928,0.75,0.3158051906235836
468,Training,936,0.75,0.32669494201546
468,Val,936,0.75,0.3147511923731545
472,Training,944,0.75,0.32553737888875367
472,Val,944,0.75,0.31367025168033347
476,Training,952,0.75,0.3133206909740786
476,Val,952,0.75,0.31257328525821315
480,Training,960,0.75,0.32318867247847516
480,Val,960,0.75,0.31147452615128574
484,Training,968,0.75,0.32197453634262896
484,Val,968,0.75,0.3103417358491458
488,Training,976,0.75,0.3099905535884072
488,Val,976,0.75,0.30921876721640523
492,Training,984,0.75,0.31954205725219587
492,Val,984,0.75,0.308056629561857
496,Training,992,0.75,0.3075369164537424
496,Val,992,0.75,0.3069058111887719
500,Training,1000,0.75,0.3063825230616897
500,Val,1000,0.75,0.30574276642586906
504,Training,1008,0.75,0.3157959441893736
504,Val,1008,0.75,0.3045522634066429
508,Training,1016,0.75,0.30403695246672524
508,Val,1016,0.75,0.3033798403159352
512,Training,1024,0.75,0.3028687658585639
512,Val,1024,0.75,0.302200762705024
516,Training,1032,0.75,0.30183623425921347
516,Val,1032,0.75,0.3010045104592454
520,Training,1040,0.75,0.31070242709365364
520,Val,1040,0.75,0.2997807982865618
524,Training,1048,0.75,0.299425909739148
524,Val,1048,0.75,0.2985750764307378
528,Training,1056,0.75,0.29806379395189486
528,Val,1056,0.75,0.29736432542588187
532,Training,1064,0.75,0.3068002226088118
532,Val,1064,0.75,0.29612489766871763
536,Training,1072,0.75,0.29563309688268496
536,Val,1072,0.75,0.2949179979089318
540,Training,1080,0.75,0.29458319634492575
540,Val,1080,0.75,0.29369135367000415
544,Training,1088,0.75,0.2932112679308276
544,Val,1088,0.75,0.29248020573639544
548,Training,1096,0.75,0.2919863907033823
548,Val,1096,0.75,0.2912477988490984
552,Training,1104,0.75,0.30028715114787186
552,Val,1104,0.75,0.2900180119561011
556,Training,1112,0.75,0.2897264089738365
556,Val,1112,0.75,0.28878651819889545
560,Training,1120,0.75,0.2885211742602095
560,Val,1120,0.75,0.2875711202569273
564,Training,1128,0.75,0.2871212383915333
564,Val,1128,0.75,0.2863538725686262
568,Training,1136,0.75,0.2859114112207948
568,Val,1136,0.75,0.28513637049979873
572,Training,1144,0.75,0.284684257111576
572,Val,1144,0.75,0.28390339769676076
576,Training,1152,0.75,0.2924656424386501
576,Val,1152,0.75,0.2826790220049791
580,Training,1160,0.75,0.2911768804330179
580,Val,1160,0.75,0.2814695044040677
584,Training,1168,0.75,0.28988311722244886
584,Val,1168,0.75,0.2802592964111956
588,Training,1176,0.75,0.28862094602468147
588,Val,1176,0.75,0.27907225685798204
592,Training,1184,0.75,0.2789488004498861
592,Val,1184,0.75,0.27789169393635893
596,Training,1192,0.75,0.28611597195595045
596,Val,1192,0.75,0.2767093442988148
600,Training,1200,0.75,0.2763517332400674
600,Val,1200,0.75,0.27553104465869954
604,Training,1208,0.75,0.2754553881048366
604,Val,1208,0.75,0.2743659339795972
608,Training,1216,0.75,0.2823671421022039
608,Val,1216,0.75,0.27319140131578395
612,Training,1224,0.75,0.27316039902930345
612,Val,1224,0.75,0.2720396763160215
616,Training,1232,0.75,0.27203359341677313
616,Val,1232,0.75,0.270901429318398
620,Training,1240,0.75,0.27874190782300834
620,Val,1240,0.75,0.2697690443251642
624,Training,1248,0.75,0.2775270771052649
624,Val,1248,0.75,0.26862902316119386
628,Training,1256,0.75,0.26868220324716907
628,Val,1256,0.75,0.2675073063269193
632,Training,1264,0.75,0.27516320269136696
632,Val,1264,0.75,0.2664005356720667
636,Training,1272,0.75,0.26615115536967193
636,Val,1272,0.75,0.2652981081809726
640,Training,1280,0.75,0.272832918367253
640,Val,1280,0.75,0.2641957157134055
644,Training,1288,0.75,0.2643451051004523
644,Val,1288,0.75,0.2631082322560184
648,Training,1296,0.75,0.2705454395207938
648,Val,1296,0.75,0.26203052550827377
652,Training,1304,0.75,0.26222918903127246
652,Val,1304,0.75,0.26096434287124004
656,Training,1312,0.75,0.260761285941897
656,Val,1312,0.75,0.2599002220329796
660,Training,1320,0.75,0.26014604680694703
660,Val,1320,0.75,0.2588508028263656
664,Training,1328,0.75,0.2660761650092362
664,Val,1328,0.75,0.2577985574679814
668,Training,1336,0.75,0.2576192718474936
668,Val,1336,0.75,0.2567568419676984
672,Training,1344,0.75,0.2638790575875889
672,Val,1344,0.75,0.2557138390078705
676,Training,1352,0.75,0.2560500524407414
676,Val,1352,0.75,0.25469295011276616
680,Training,1360,0.75,0.2617309230465438
680,Val,1360,0.75,0.25366825357042655
684,Training,1368,0.75,0.2606636564363623
684,Val,1368,0.75,0.25265751484437404
688,Training,1376,0.75,0.25960363130774355
688,Val,1376,0.75,0.2516461817953912
692,Training,1384,0.75,0.2520724263209314
692,Val,1384,0.75,0.2506511170605601
696,Training,1392,0.75,0.25110653047354853
696,Val,1392,0.75,0.24966750681722535
700,Training,1400,0.75,0.25647654596407576
700,Val,1400,0.75,0.24867744779893636
704,Training,1408,0.75,0.25545685752622843
704,Val,1408,0.75,0.24769873024402006
708,Training,1416,0.75,0.24820072410625468
708,Val,1416,0.75,0.24672492289563625
